year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,3321,
1984,2,63984,236,3195,3321,
1984,3,1039038,2851,3321,3321,
1984,4,20929,273,3245,3321,
1984,max,1042279,2858,3321,3321,
1985,1,47178,413,3148,3321,
1985,2,497299,1659,3290,3321,
1985,3,1058466,2508,3321,3321,
1985,4,308894,1897,3321,3321,
1985,max,1088187,2617,3321,3321,
1986,1,0,0,0,3321,
1986,2,275253,826,2994,3321,
1986,3,602366,2058,3320,3321,
1986,4,91914,1036,3313,3321,
1986,max,693162,2146,3320,3321,
1987,1,0,0,0,3321,
1987,2,147133,679,3277,3321,
1987,3,404685,1576,3304,3321,
1987,4,285551,991,3035,3321,
1987,max,461101,1643,3319,3321,
1988,1,0,0,0,3321,
1988,2,2430,3,246,3321,
1988,3,168077,619,3131,3321,
1988,4,0,0,0,3321,
1988,max,170372,621,3150,3321,
1989,1,0,0,0,3321,
1989,2,779889,2124,3321,3321,
1989,3,0,0,0,3321,
1989,4,531151,1986,3305,3321,
1989,max,888938,2584,3321,3321,
1990,1,98796,543,3294,3321,
1990,2,1246300,2005,3303,3321,
1990,3,551450,1763,3316,3321,
1990,4,50518,249,3116,3321,
1990,max,1319663,2376,3321,3321,
1991,1,38862,52,97,3321,
1991,2,880121,2078,3293,3321,
1991,3,516006,1877,3317,3321,
1991,4,425340,1553,3308,3321,
1991,max,974257,2331,3318,3321,
1992,1,0,0,6,3321,
1992,2,1493799,2597,3258,3321,
1992,3,234476,1062,3272,3321,
1992,4,832,6,3170,3321,
1992,max,1495725,2609,3316,3321,
1993,1,39437,285,3304,3321,
1993,2,345800,1671,3320,3321,
1993,3,280539,1125,3268,3321,
1993,4,0,0,0,3321,
1993,max,406301,1721,3320,3321,
1994,1,0,0,0,3321,
1994,2,595974,1614,3302,3321,
1994,3,96264,166,246,3321,
1994,4,58365,361,2907,3321,
1994,max,647471,1649,3313,3321,
1995,1,21582,83,2912,3321,
1995,2,271147,1728,2912,3321,
1995,3,813760,2390,3316,3321,
1995,4,4290,18,2888,3321,
1995,max,816724,2422,3317,3321,
1996,1,0,0,1,3321,
1996,2,66223,462,2905,3321,
1996,3,0,0,0,3321,
1996,4,0,0,2316,3321,
1996,max,66223,462,2909,3321,
1997,1,0,0,0,3321,
1997,2,254160,920,2905,3321,
1997,3,295088,1278,2871,3321,
1997,4,0,0,0,3321,
1997,max,355790,1359,2913,3321,
1998,1,70472,337,3304,3321,
1998,2,69883,270,2829,3321,
1998,3,299394,1390,2909,3321,
1998,4,0,0,0,3321,
1998,max,333729,1463,3320,3321,
1999,1,0,0,0,3321,
1999,2,456065,1433,2899,3321,
1999,3,549568,1911,2895,3321,
1999,4,226563,909,2994,3321,
1999,max,699210,2173,3092,3321,
2000,1,0,0,0,3321,
2000,2,366845,1516,3321,3321,
2000,3,499092,2096,3321,3321,
2000,4,811,12,3317,3321,
2000,max,564933,2170,3321,3321,
2001,1,0,0,2734,3321,
2001,2,255298,1382,3321,3321,
2001,3,0,0,2047,3321,
2001,4,104983,1151,3320,3321,
2001,max,274859,1592,3321,3321,
2002,1,96968,381,2800,3321,
2002,2,472430,1556,3284,3321,
2002,3,482779,2638,3319,3321,
2002,4,40362,537,3316,3321,
2002,max,652021,2724,3321,3321,
2003,1,5750,51,3318,3321,
2003,2,41748,158,2005,3321,
2003,3,449006,2303,3317,3321,
2003,4,32182,480,3320,3321,
2003,max,457908,2311,3321,3321,
2004,1,59637,582,3317,3321,
2004,2,354592,1748,3320,3321,
2004,3,481551,2387,3320,3321,
2004,4,18274,306,3317,3321,
2004,max,559146,2639,3321,3321,
2005,1,33846,328,3319,3321,
2005,2,274803,1123,3321,3321,
2005,3,272801,2380,3321,3321,
2005,4,29079,227,3177,3321,
2005,max,407226,2489,3321,3321,
2006,1,0,0,2484,3321,
2006,2,428961,2006,3321,3321,
2006,3,598814,2769,3320,3321,
2006,4,400496,2165,3321,3321,
2006,max,725967,3101,3321,3321,
2007,1,62444,432,3320,3321,
2007,2,268349,1387,3320,3321,
2007,3,398265,1801,3321,3321,
2007,4,55366,675,3314,3321,
2007,max,430560,1865,3321,3321,
2008,1,33738,380,3320,3321,
2008,2,52634,272,3169,3321,
2008,3,394108,1772,3320,3321,
2008,4,7224,37,3072,3321,
2008,max,418231,1907,3321,3321,
2009,1,32568,251,3296,3321,
2009,2,913403,2441,3321,3321,
2009,3,358049,1542,3321,3321,
2009,4,6622,116,3320,3321,
2009,max,925241,2499,3321,3321,
2010,1,2632,30,3093,3321,
2010,2,38276,199,1148,3321,
2010,3,285294,1073,3230,3321,
2010,4,191231,1002,3314,3321,
2010,max,429751,1620,3321,3321,
2011,1,51311,606,3312,3321,
2011,2,299175,1842,3321,3321,
2011,3,706171,1724,3300,3321,
2011,4,117903,987,3321,3321,
2011,max,731253,2063,3321,3321,
2012,1,79131,852,3320,3321,
2012,2,27769,134,821,3321,
2012,3,955275,2773,3321,3321,
2012,4,0,0,773,3321,
2012,max,956664,2795,3321,3321,
2013,1,29517,147,1141,3321,
2013,2,0,0,255,3321,
2013,3,404196,1998,3321,3321,
2013,4,116600,999,3321,3321,
2013,max,417657,2018,3321,3321,
2014,1,37284,428,3311,3321,
2014,2,425838,1220,3321,3321,
2014,3,326236,1810,3321,3321,
2014,4,6624,168,3321,3321,
2014,max,500311,1859,3321,3321,
2015,1,4927,88,3321,3321,
2015,2,312515,1713,3321,3321,
2015,3,441867,1688,3321,3321,
2015,4,145284,1256,3321,3321,
2015,max,495789,1968,3321,3321,
2016,1,31993,304,3319,3321,
2016,2,314682,991,3321,3321,
2016,3,434219,1698,3321,3321,
2016,4,71065,1054,3321,3321,
2016,max,499460,1814,3321,3321,
2017,1,45818,401,3259,3321,
2017,2,406169,1285,3304,3321,
2017,3,778645,2351,3321,3321,
2017,4,72382,802,3320,3321,
2017,max,797704,2396,3321,3321,
2018,1,84243,579,2985,3321,
2018,2,141329,696,3302,3321,
2018,3,629064,2174,3321,3321,
2018,4,92883,954,3321,3321,
2018,max,636675,2181,3321,3321,
2019,1,100117,1123,3321,3321,
2019,2,888358,2146,3320,3321,
2019,3,335580,1711,3321,3321,
2019,4,82179,882,3321,3321,
2019,max,893405,2225,3321,3321,
2020,1,157977,1264,3321,3321,
2020,2,361828,1259,3321,3321,
2020,3,528863,2523,3321,3321,
2020,4,148809,1137,3321,3321,
2020,max,603241,2613,3321,3321,
2021,1,402,4,3100,3321,
2021,2,441289,1738,3321,3321,
2021,3,557367,1800,3321,3321,
2021,4,82810,699,3316,3321,
2021,max,635468,2052,3321,3321,
2022,1,81315,643,3317,3321,
2022,2,517554,1445,3321,3321,
2022,3,341863,1482,3321,3321,
2022,4,103272,752,3317,3321,
2022,max,558723,1588,3321,3321,
2023,1,1005,4,2832,3321,
2023,2,588952,1642,3320,3321,
2023,3,486230,1772,3321,3321,
2023,4,14951,205,3321,3321,
2023,max,667331,1968,3321,3321,
2024,1,19477,140,3320,3321,
2024,2,238244,1276,3321,3321,
