year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
2016,4,23486,401,2623,2623,
2016,max,385932,1752,2623,2623,
2017,1,22980,234,2615,2623,
2017,2,179370,536,2607,2623,
2017,3,316030,1811,2622,2623,
2017,4,16316,359,2623,2623,
2017,max,369066,1845,2623,2623,
2018,1,4744,19,1034,2623,
2018,2,56676,413,2569,2623,
2018,3,298158,1475,2623,2623,
2018,4,24139,677,2623,2623,
2018,max,303447,1536,2623,2623,
2019,1,12175,230,2623,2623,
2019,2,249154,1008,2621,2623,
2019,3,342427,1769,2621,2623,
2019,4,12367,205,2622,2623,
2019,max,405181,1852,2623,2623,
2020,1,17165,126,2623,2623,
2020,2,91161,452,2622,2623,
2020,3,260746,1567,2623,2623,
2020,4,46228,797,2623,2623,
2020,max,292280,1712,2623,2623,
2021,1,37688,171,2404,2623,
2021,2,232188,1133,2623,2623,
2021,3,404588,2088,2623,2623,
2021,4,80883,915,2622,2623,
2021,max,531476,2265,2623,2623,
2022,1,3734,21,2622,2623,
2022,2,113882,549,2622,2623,
2022,3,184585,1107,2623,2623,
2022,4,54791,599,2623,2623,
2022,max,245713,1213,2623,2623,
2023,1,3973,23,2582,2623,
2023,2,222441,831,2621,2623,
2023,3,258299,1381,2622,2623,
2023,4,79202,531,2623,2623,
2023,max,386749,1614,2623,2623,
2024,1,15302,79,2622,2623,
2024,2,141234,673,2623,2623,
